V4_1,Data Marking,calendar-years,time,admin-geography,geography,week-number,week,recorded-deaths,deaths
1413,,2010,2010,E12000002,North West,week-49,Week 49,total-registered-deaths,Total registered deaths
789,,2011,2011,E12000004,East Midlands,week-9,Week 09,total-registered-deaths,Total registered deaths
1390,,2011,2011,E12000005,West Midlands,week-2,Week 02,total-registered-deaths,Total registered deaths
559,,2012,2012,W92000004,Wales,week-25,Week 25,total-registered-deaths,Total registered deaths
613,,2012,2012,W92000004,Wales,week-41,Week 41,total-registered-deaths,Total registered deaths
1187,,2010,2010,E12000008,South East,week-30,Week 30,total-registered-deaths,Total registered deaths
872,,2010,2010,E12000009,South West,week-18,Week 18,total-registered-deaths,Total registered deaths
1120,,2011,2011,E12000006,East of England,week-5,Week 05,total-registered-deaths,Total registered deaths
828,,2011,2011,E12000006,East of England,week-17,Week 17,total-registered-deaths,Total registered deaths
986,,2011,2011,E12000005,West Midlands,week-4,Week 04,total-registered-deaths,Total registered deaths
921,,2011,2011,E12000005,West Midlands,week-42,Week 42,total-registered-deaths,Total registered deaths
607,,2010,2010,W92000004,Wales,week-10,Week 10,total-registered-deaths,Total registered deaths
541,,2010,2010,W92000004,Wales,week-22,Week 22,total-registered-deaths,Total registered deaths
1028,,2011,2011,E12000005,West Midlands,week-18,Week 18,total-registered-deaths,Total registered deaths
1073,,2011,2011,E12000006,East of England,week-14,Week 14,total-registered-deaths,Total registered deaths
,x,2016,2016,E12000005,West Midlands,week-53,Week 53,total-registered-deaths,Total registered deaths
,x,2013,2013,E12000002,North West,week-53,Week 53,total-registered-deaths,Total registered deaths
1163,,2013,2013,E12000002,North West,week-25,Week 25,total-registered-deaths,Total registered deaths
1227,,2013,2013,E12000002,North West,week-43,Week 43,total-registered-deaths,Total registered deaths
920,,2010,2010,E12000007,London,week-12,Week 12,total-registered-deaths,Total registered deaths
826,,2010,2010,E12000007,London,week-31,Week 31,total-registered-deaths,Total registered deaths
850,,2010,2010,E12000003,Yorkshire and The Humber,week-33,Week 33,total-registered-deaths,Total registered deaths
759,,2010,2010,E12000004,East Midlands,week-17,Week 17,total-registered-deaths,Total registered deaths
511,,2011,2011,W92000004,Wales,week-41,Week 41,total-registered-deaths,Total registered deaths
8461,,2010,2010,K04000001,England and Wales,week-25,Week 25,total-registered-deaths,Total registered deaths
995,,2013,2013,E12000003,Yorkshire and The Humber,week-20,Week 20,total-registered-deaths,Total registered deaths
902,,2013,2013,E12000003,Yorkshire and The Humber,week-29,Week 29,total-registered-deaths,Total registered deaths
922,,2013,2013,E12000009,South West,week-30,Week 30,total-registered-deaths,Total registered deaths
575,,2011,2011,E12000001,North East,week-8,Week 08,total-registered-deaths,Total registered deaths
792,,2013,2013,W92000004,Wales,week-15,Week 15,total-registered-deaths,Total registered deaths
9203,,2011,2011,K04000001,England and Wales,week-48,Week 48,total-registered-deaths,Total registered deaths
1098,,2010,2010,E12000004,East Midlands,week-2,Week 02,total-registered-deaths,Total registered deaths
821,,2010,2010,E12000005,West Midlands,week-18,Week 18,total-registered-deaths,Total registered deaths
945,,2011,2011,E12000005,West Midlands,week-44,Week 44,total-registered-deaths,Total registered deaths
1032,,2011,2011,E12000006,East of England,week-6,Week 06,total-registered-deaths,Total registered deaths
468,,2013,2013,E12000001,North East,week-24,Week 24,total-registered-deaths,Total registered deaths
